Dirección;Código postal;Localidad;Provincia;Teléfono;lat;lng
Acceso Ademúz, S/N;46100;Burjassot;Valencia;963638421;39.51;-0.425055
Acera del Darro, 92;18005;Granada;Granada;958535815;37.169266;-3.597161
Aeropuerto Barajas Terminal 4;28042;Madrid;Madrid;913338240;40.492336;-3.5938594
Aeropuerto de Barajas- Terminal 2;28042;Madrid;Madrid;913292227;40.468258;-3.569565
Alameda de San Antón, 8-10;30205;Cartagena;Murcia;968321532;37.608547;-0.9922457
Alboraya, 17;46010;Valencia;Valencia;963612650;39.4815;-0.370971
Alcala, 171;28009;Madrid;Madrid;915778152;40.4263;-3.67272
Alcalde Alfonso de Rojas, 8;03004;Alicante;Alicante;965916387;38.352;-0.486993
Alemanya, 26;08303;Mataro;Barcelona;937989703;41.54652;2.43167
Alfonso XIII, 299;08918;Badalona;Barcelona;934605105;41.43904;2.22765
Almeria, 9;08320;El Masnou;Barcelona;935554313;41.48653;2.30841
Alta del Mar, 68;46024;Valencia;Valencia;963675261;39.449406;-0.333775
Amadeo de Saboya, 24;46010;Valencia;Valencia;963624553;39.4729;-0.359781
Ancha, 20;24003;Leon;León;987875611;42.598274;-5.569678
Andres Manjon, 6;35200;Telde;Las Palmas;928684465;27.9979;-15.4151
Andreu Soler, 41222;08930;Sant Adria de Besos;Barcelona;933976260;41.43217;2.2182136
Angel Guimera, 1;08320;El Masnou;Barcelona;935550414;41.48088;2.3271
Angel Guimera, 59;08241;Manresa;Barcelona;938721355;41.7287;1.82333
Angel Guimera, 62;46008;Valencia;Valencia;963858832;39.4695;-0.389843
Anselm Clavé, 133;08640;Olesa de Montserrat;Barcelona;937729806;41.54379;1.892225
Anselm Clave, 16;08339;Vilassar de Dalt;Barcelona;937507200;41.51688;2.35904
Anselm Clave, 8;08391;Tiana;Barcelona;934656663;41.48127;2.26842
Aparejador Antonio Monzo, 5;46930;Quart de Poblet;Valencia;961541422;39.4824;-0.43837
Arago, 2;08330;Premia de Mar;Barcelona;937522843;41.4978;2.35976
Arago, 48;07005;Palma de Mallorca;Illes Balears;971275497;39.577442;2.661029
Arbres, 27-29;08912;Badalona;Barcelona;933847423;41.44715;2.24567
Área de Gobierno de Urbanismo y Vivienda de Madrid (C/ Guatemala, 13);28016;Madrid;Madrid;913532210;40.45983;-3.671726
Arq. Juan Segura de Lago, 10;46014;Valencia;Valencia;963170423;39.4547;-0.403962
Arquitecto Vandelvira, 24;02003;Albacete;Albacete;967224011;38.987682;-1.862174
Artur Carbonell, 40969;08870;Sitges;Barcelona;938113404;41.23835;1.80728
Atarazanas, 2;29005;Malaga;Málaga;952071710;36.718445;-4.4231
Ausias March, 5;46113;Moncada;Valencia;961390190;39.5449;-0.392729
Ausias March, 60;46100;Burjassot;Valencia;963633361;39.514187;-0.410892
Av. Alejandro Rosello, 23;07002;Palma de Mallorca;Illes Balears;971715049;39.574074;2.655548
Av. Aljarafe, 14;41940;Tomares;Sevilla;954159096;37.36889;-6.0407896
Av. Al Vedat, 61;46900;Torrent;Valencia;961557154;39.45614;-0.459912
Av. Al Vedat, 84;46900;Torrent;Valencia;961558115;39.4323;-0.472584
Av. America, 120-122;08304;Mataro;Barcelona;937902240;41.54721;2.45105
Av. America, 40;17310;Lloret de Mar;Girona;972361243;41.69963;2.83189
Av. Andalucía, 3;28840;Mejorada del Campo;Madrid;916794330;40.396942;-3.4841433
Av. Andalucia, 85;11008;Cadiz;Cádiz;956205951;36.5146;-6.28157
Av. Andalucia, 97-Edif. Hile Edf. Hilero;29740;Torre del Mar;Málaga;952545134;36.7409;-4.09522
Av. Anselm Riu, 60-62;08924;Santa Coloma de Gramanet;Barcelona;934683849;41.45953;2.20215
Av. Aragon, 13 Bloque II;46010;Valencia;Valencia;963394670;39.4695;-0.3586489
Av. Arrabal, 2;46340;Requena;Valencia;962301176;39.4882;-1.10048
Av. Askatasun Etorbidea, 3;48200;Durango;Vizcaya;946215003;43.168827;-2.634726
Av. Badajoz, 9;28027;Madrid;Madrid;914059900;40.442497;-3.653791
Av. Banus Baixa, 58-60;08923;Santa Coloma de Gramanet;Barcelona;933864199;41.4461;2.21322
Av. Barberà, 359;08204;Sabadell;Barcelona;937207860;41.530033;2.1171348
Av. Barcelona, 17;08750;Molins de Rei;Barcelona;936803600;41.409607;2.0197804
Av. Baron de Carcer, 48;46001;Valencia;Valencia;963509510;39.469723;-0.37965
Av. Betanzos, 75;28029;Madrid;Madrid;913769165;40.479748;-3.7127934
Av. Blasco Ibañez, 107;46022;Valencia;Valencia;963726538;39.4736;-0.345179
Av. Blasco Ibañez, 3;46400;Cullera;Valencia;961722714;39.1653;-0.244027
Av. Blasco Ibañez, 48;46980;Paterna;Valencia;961385660;39.498524;-0.434878
Av. Blondel, 68;25002;Lleida;Lleida;973289280;41.61226;0.6234552
Av. Burjasot, 197;46015;Valencia;Valencia;963402123;39.493088;-0.394289
Av. Caldas de Montbui, 2;08100;Mollet del Valles;Barcelona;935935401;41.54224;2.20899
Av. Campanar, 118;46015;Valencia;Valencia;963404500;39.4785;-0.394542
Av. Campanar, 72;46015;Valencia;Valencia;963486249;39.482925;-0.392309
Av. Canarias, 237;35110;Vecindario;Las Palmas;928755171;27.849749;-15.441832
Av. Carabanchel Alto, 56;28044;Madrid;Madrid;915111010;40.370674;-3.7530353
Av. Catalunya, 29;08290;Cerdanyola del Valles;Barcelona;935921720;41.492844;2.145426
Av. Catalunya, 30;17300;Blanes;Girona;972355018;41.667076;2.77592
Av. Cesar Giorgeta, 19;46007;Valencia;Valencia;963419356;39.461;-0.385616
Av. Ciudad de Barcelona, 109;28007;Madrid;Madrid;915130075;40.399048;-3.670647
Av. Ciudad de Barcelona, 59;28007;Madrid;Madrid;915130090;40.4022;-3.6763859
Av. Comas i Masferrer, S/N S/n;08450;Llinars del Valles;Barcelona;938411567;41.63898;2.4024277
Av. Complutense, s/n;28040;Madrid;Madrid;915502040;40.4484;-3.7276235
